order_id,customer_id,order_date,total_amount
1,24,2024-07-21,270.15
2,90,2024-10-02,179.24
3,89,2024-06-21,453.65
4,100,2024-08-01,367.55
5,81,2024-06-13,183.6
6,51,2024-07-18,409.22
7,87,2024-09-09,425.69
8,8,2024-08-14,120.84
9,67,2024-04-23,423.97
10,36,2024-01-04,390.39
11,67,2024-11-01,437.71
12,71,2024-10-09,194.28
13,80,2024-12-14,214.81
14,45,2024-08-27,74.65
15,2,2024-01-07,199.23
16,53,2024-05-28,259.13
17,23,2024-06-08,99.74
18,46,2024-04-14,409.07
19,86,2024-01-24,287.84
20,5,2024-12-12,304.43
21,46,2024-05-30,383.5
22,38,2024-11-16,197.12
23,64,2024-09-13,200.59
24,84,2024-07-04,137.4
25,30,2024-03-29,414.2
26,28,2024-09-05,124.65
27,99,2024-03-08,339.52
28,10,2024-10-25,142.85
29,78,2024-02-29,473.87
30,60,2024-05-02,459.23
31,27,2024-12-22,413.9
32,39,2024-10-07,94.34
33,60,2024-10-25,182.13
34,59,2024-07-11,317.14
35,16,2024-02-16,236.59
36,68,2024-10-12,229.37
37,55,2024-04-20,338.93
38,7,2024-01-19,302.21
39,19,2024-07-13,135.55
40,98,2024-01-12,485.15
41,28,2024-06-30,16.37
42,35,2024-03-11,65.66
43,32,2024-08-18,346.9
44,49,2024-01-25,162.43
45,96,2024-07-25,82.99
46,67,2024-12-14,85.43
47,51,2024-09-08,498.36
48,90,2024-06-30,222.67
49,90,2024-02-28,63.01
50,98,2024-05-05,46.74
51,75,2024-02-10,118.58
52,33,2024-02-19,394.28
53,66,2024-08-08,308.19
54,69,2024-12-20,427.43
55,80,2024-02-25,26.69
56,1,2024-09-29,77.52
57,94,2024-05-02,252.4
58,73,2024-11-27,377.9
59,12,2024-05-05,344.47
60,15,2024-10-07,130.38
61,9,2024-07-01,117.81
62,99,2024-02-19,43.14
63,22,2024-11-04,475.31
64,24,2024-04-05,180.88
65,65,2024-01-19,450.41
66,99,2024-06-27,282.99
67,76,2024-06-26,32.46
68,54,2024-04-05,186.0
69,98,2024-06-20,375.47
70,49,2024-03-13,464.41
71,11,2024-06-22,32.17
72,88,2024-01-25,239.08
73,27,2024-02-20,163.0
74,55,2024-03-17,262.34
75,17,2024-08-18,223.3
76,18,2024-11-15,194.05
77,49,2024-09-14,176.97
78,15,2024-11-03,409.88
79,57,2024-05-01,389.44
80,61,2024-04-05,60.02
81,8,2024-02-23,233.77
82,37,2024-05-25,200.58
83,62,2024-08-19,257.59
84,66,2024-01-06,395.28
85,87,2024-05-12,383.69
86,63,2024-12-27,79.63
87,80,2024-02-21,119.85
88,53,2024-12-04,180.59
89,100,2024-02-24,239.2
90,41,2024-12-23,304.83
91,47,2024-06-08,455.02
92,20,2024-04-22,404.78
93,94,2024-03-12,207.78
94,92,2024-07-23,152.34
95,49,2024-01-30,374.92
96,33,2024-03-16,346.5
97,22,2024-03-06,58.75
98,23,2024-05-24,222.94
99,42,2024-01-23,389.33
100,5,2024-04-29,233.63
